Month,Theme,abc13.com,abc7news.com,autonews.com,boston.com,bostonherald.com,breitbart.com,cbsnews.com,chicagotribune.com,denverpost.com,fox2now.com,foxnews.com,gothamist.com,huffingtonpost.com,kdvr.com,kron4.com,ktla.com,kxan.com,latimes.com,laweekly.com,mercurynews.com,miamiherald.com,miaminewtimes.com,nbcchicago.com,nbclosangeles.com,nbcnews.com,nbcnewyork.com,nbcphiladelphia.com,nbcsandiego.com,nbcwashington.com,newsday.com,newsmax.com,newsweek.com,npr.org,nydailynews.com,nypost.com,nytimes.com,observer.com,philly.com,phillyvoice.com,politico.com,seattlepi.com,seattletimes.com,stltoday.com,theonion.com,twincities.com,usatoday.com,villagevoice.com,westword.com,wgntv.com,wtop.com
Oct-18,social,3983.0,3582.0,775.0,3130.0,3963.0,8172.0,5460.0,9592.0,26.0,2292.0,19985.0,541.0,2853.0,1499.0,1386.0,2992.0,945.0,6564.0,,,18117.0,,1363.0,1377.0,24243.0,1440.0,981.0,1088.0,1530.0,4111.0,7101.0,9040.0,4033.0,5220.0,4013.0,16219.0,629.0,4203.0,485.0,7927.0,21314.0,14608.0,10068.0,52.0,,7837.0,125.0,,1845.0,9211.0
Oct-18,conflict,5901.0,5554.0,1175.0,4734.0,6014.0,12128.0,8244.0,14346.0,38.0,3458.0,30169.0,842.0,4242.0,2166.0,2080.0,4472.0,1414.0,9925.0,,,27205.0,,2033.0,2049.0,36463.0,2154.0,1442.0,1633.0,2309.0,6150.0,10656.0,13785.0,5958.0,7800.0,5976.0,24498.0,960.0,6254.0,672.0,12082.0,32244.0,22021.0,15218.0,91.0,,11808.0,188.0,,2814.0,13808.0
Oct-18,env,1567.0,1482.0,308.0,1229.0,1640.0,3307.0,2235.0,3799.0,16.0,943.0,8099.0,222.0,1110.0,604.0,545.0,1196.0,387.0,2666.0,,,7406.0,,548.0,533.0,9679.0,557.0,351.0,401.0,589.0,1651.0,2909.0,3684.0,1538.0,2034.0,1592.0,6523.0,241.0,1690.0,175.0,3177.0,8668.0,5800.0,4144.0,25.0,,3244.0,57.0,,710.0,3598.0
Oct-18,health,2982.0,2832.0,613.0,2353.0,3046.0,6105.0,4281.0,7369.0,26.0,1798.0,15315.0,447.0,2179.0,1159.0,1086.0,2271.0,713.0,5119.0,,,13783.0,,1064.0,1032.0,18492.0,1079.0,742.0,832.0,1170.0,3117.0,5440.0,6961.0,3065.0,3968.0,3062.0,12287.0,504.0,3117.0,364.0,6015.0,16403.0,11150.0,7750.0,43.0,,6024.0,99.0,,1417.0,7039.0
Oct-18,eco,1971.0,1830.0,399.0,1607.0,2043.0,4108.0,2823.0,4698.0,14.0,1164.0,10193.0,268.0,1408.0,725.0,679.0,1466.0,499.0,3248.0,,,9123.0,,658.0,687.0,12161.0,705.0,472.0,570.0,786.0,2011.0,3609.0,4586.0,1963.0,2615.0,1984.0,8172.0,333.0,2115.0,222.0,4020.0,10829.0,7395.0,5058.0,26.0,,3925.0,52.0,,925.0,4493.0
Dec-17,social,3088.0,2856.0,328.0,1333.0,11310.0,6167.0,4815.0,9094.0,4055.0,1342.0,14816.0,,8179.0,1035.0,1588.0,1926.0,1436.0,15130.0,82.0,3246.0,12387.0,376.0,800.0,891.0,16825.0,948.0,736.0,788.0,1156.0,3516.0,7628.0,7606.0,4112.0,17677.0,4999.0,12175.0,858.0,6454.0,691.0,5329.0,10884.0,20363.0,12081.0,59.0,1208.0,5033.0,103.0,488.0,1116.0,6732.0
Dec-17,conflict,4555.0,4302.0,501.0,2033.0,16881.0,9384.0,7272.0,13549.0,6147.0,2049.0,22369.0,,12347.0,1551.0,2377.0,2851.0,2214.0,22961.0,135.0,4933.0,18809.0,535.0,1190.0,1283.0,25228.0,1411.0,1019.0,1157.0,1729.0,5405.0,11614.0,11419.0,6158.0,26705.0,7366.0,18240.0,1249.0,9813.0,1053.0,8086.0,16185.0,30436.0,18234.0,76.0,1836.0,7662.0,156.0,728.0,1707.0,10269.0
Dec-17,env,1236.0,1130.0,131.0,564.0,4542.0,2551.0,1978.0,3695.0,1664.0,499.0,5794.0,,3367.0,407.0,665.0,738.0,560.0,6207.0,37.0,1383.0,5159.0,147.0,306.0,372.0,6693.0,394.0,266.0,291.0,473.0,1487.0,3065.0,3106.0,1637.0,7241.0,2024.0,4934.0,369.0,2573.0,284.0,2191.0,4328.0,8241.0,4907.0,14.0,439.0,2033.0,45.0,201.0,456.0,2693.0
Dec-17,health,2283.0,2159.0,252.0,1083.0,8705.0,4761.0,3710.0,6862.0,3068.0,1085.0,11390.0,,6340.0,774.0,1232.0,1450.0,1099.0,11641.0,59.0,2555.0,9440.0,288.0,584.0,632.0,12903.0,724.0,537.0,586.0,879.0,2746.0,5851.0,5747.0,3215.0,13806.0,3772.0,9434.0,664.0,5009.0,525.0,4108.0,8240.0,15589.0,9192.0,36.0,913.0,3866.0,87.0,365.0,839.0,5198.0
Dec-17,eco,1542.0,1510.0,156.0,677.0,5589.0,3167.0,2399.0,4597.0,2039.0,633.0,7372.0,,4041.0,486.0,789.0,948.0,740.0,7675.0,40.0,1649.0,6308.0,202.0,392.0,437.0,8415.0,479.0,365.0,385.0,571.0,1784.0,3889.0,3687.0,2107.0,8992.0,2470.0,6085.0,422.0,3311.0,368.0,2739.0,5391.0,10254.0,6190.0,38.0,569.0,2600.0,55.0,227.0,552.0,3371.0
